subject	target	isReward	GroupCount	mean_guessPupilArea	mean_outcomePupilArea	condition
189	VLPFC	1	48	1399.346611	1401.767162	VLPFC_reward
189	VLPFC	0	48	1414.263801	1500.332599	VLPFC_punish
189	RTPJ	1	48	1391.592348	1435.688742	RTPJ_reward
189	RTPJ	0	48	1399.414251	1497.389777	RTPJ_punish
203	VLPFC	1	47	827.9481785	899.9942792	VLPFC_reward
203	VLPFC	0	48	868.7667132	981.7105756	VLPFC_punish
203	RTPJ	1	48	774.7118785	859.117603	RTPJ_reward
203	RTPJ	0	48	851.533521	953.9690335	RTPJ_punish
207	VLPFC	1	30	4745.719497	4653.414665	VLPFC_reward
207	VLPFC	0	32	5208.179633	5402.019371	VLPFC_punish
207	RTPJ	1	31	4916.265178	4860.159448	RTPJ_reward
207	RTPJ	0	31	5262.478977	5434.120935	RTPJ_punish
208	VLPFC	1	48	829.1517067	894.271172	VLPFC_reward
208	VLPFC	0	45	1008.896327	1068.894881	VLPFC_punish
208	RTPJ	1	46	962.1916422	982.6708917	RTPJ_reward
208	RTPJ	0	45	988.3291532	1044.768469	RTPJ_punish
209	VLPFC	1	47	1694.366022	1697.537597	VLPFC_reward
209	VLPFC	0	47	1682.577779	1797.158625	VLPFC_punish
209	RTPJ	1	47	1562.042604	1586.713879	RTPJ_reward
209	RTPJ	0	47	1699.144038	1876.126549	RTPJ_punish
210	VLPFC	1	45	986.5395718	1054.940479	VLPFC_reward
210	VLPFC	0	45	1021.142139	1098.982808	VLPFC_punish
210	RTPJ	1	46	1004.620521	1027.296091	RTPJ_reward
210	RTPJ	0	45	1020.268981	1107.706477	RTPJ_punish
211	VLPFC	1	45	2405.701614	2549.123733	VLPFC_reward
211	VLPFC	0	45	2473.355107	2778.079118	VLPFC_punish
211	RTPJ	1	45	2375.222743	2530.282632	RTPJ_reward
211	RTPJ	0	41	2388.518925	2653.84375	RTPJ_punish
212	VLPFC	1	29	1720.576844	1866.349883	VLPFC_reward
212	VLPFC	0	25	1435.258075	1320.40044	VLPFC_punish
212	RTPJ	1	29	1546.991029	1639.275964	RTPJ_reward
212	RTPJ	0	25	1722.285331	1898.483001	RTPJ_punish
213	VLPFC	1	32	612.7897811	681.9925281	VLPFC_reward
213	VLPFC	0	32	696.9222739	803.7059298	VLPFC_punish
213	RTPJ	1	32	636.6223512	703.3780068	RTPJ_reward
213	RTPJ	0	31	598.8837296	676.9110449	RTPJ_punish
214	VLPFC	1	47	2052.455495	2124.315638	VLPFC_reward
214	VLPFC	0	47	1866.899892	2003.133501	VLPFC_punish
214	RTPJ	1	48	1904.851281	1996.624335	RTPJ_reward
214	RTPJ	0	48	1737.773659	1886.105953	RTPJ_punish
215	VLPFC	1	48	1852.676118	2157.82779	VLPFC_reward
215	VLPFC	0	47	1889.389928	2242.300804	VLPFC_punish
215	RTPJ	1	47	1856.999365	2143.600407	RTPJ_reward
215	RTPJ	0	46	1935.759299	2311.509091	RTPJ_punish
216	VLPFC	1	32	1756.625082	1705.987295	VLPFC_reward
216	VLPFC	0	30	2096.528597	2169.11211	VLPFC_punish
216	RTPJ	1	32	1755.958322	1887.215202	RTPJ_reward
216	RTPJ	0	32	1910.721116	2158.833692	RTPJ_punish
217	VLPFC	1	48	883.1633923	945.4283148	VLPFC_reward
217	VLPFC	0	48	789.5420048	866.2268356	VLPFC_punish
217	RTPJ	1	48	857.9512116	915.0323479	RTPJ_reward
217	RTPJ	0	47	947.6723979	1040.385844	RTPJ_punish
218	VLPFC	1	45	1535.76398	1581.633418	VLPFC_reward
218	VLPFC	0	45	1587.992554	1638.034796	VLPFC_punish
218	RTPJ	1	44	1423.608227	1397.311572	RTPJ_reward
218	RTPJ	0	44	1528.714708	1632.720845	RTPJ_punish
219	VLPFC	1	47	1229.703801	1343.357136	VLPFC_reward
219	VLPFC	0	47	1219.317363	1330.808686	VLPFC_punish
219	RTPJ	1	48	1229.932083	1351.390366	RTPJ_reward
219	RTPJ	0	46	1185.900976	1283.498505	RTPJ_punish
220	VLPFC	1	47	1985.972572	2024.491491	VLPFC_reward
220	VLPFC	0	47	1880.426932	1867.774127	VLPFC_punish
220	RTPJ	1	47	1788.913449	1818.206663	RTPJ_reward
220	RTPJ	0	47	1825.364812	1921.108463	RTPJ_punish
221	VLPFC	1	47	1542.105763	1671.701028	VLPFC_reward
221	VLPFC	0	47	1671.044205	1851.368099	VLPFC_punish
221	RTPJ	1	48	1576.088961	1694.120143	RTPJ_reward
221	RTPJ	0	48	1473.962347	1654.3374	RTPJ_punish
222	VLPFC	1	48	3618.885906	4007.412202	VLPFC_reward
222	VLPFC	0	48	3654.518895	3946.733256	VLPFC_punish
222	RTPJ	1	48	3550.906254	3827.303658	RTPJ_reward
222	RTPJ	0	48	3681.874439	4185.986606	RTPJ_punish
225	VLPFC	1	47	1584.674974	1671.792011	VLPFC_reward
225	VLPFC	0	47	1601.691476	1718.922392	VLPFC_punish
225	RTPJ	1	47	1703.673478	1753.173131	RTPJ_reward
225	RTPJ	0	48	1678.72398	1803.148757	RTPJ_punish
226	VLPFC	1	48	1451.750055	1588.353757	VLPFC_reward
226	VLPFC	0	46	1517.150781	1677.96896	VLPFC_punish
226	RTPJ	1	48	1393.813046	1487.289517	RTPJ_reward
226	RTPJ	0	46	1369.99118	1516.930571	RTPJ_punish
227	VLPFC	1	48	1608.926994	1535.839632	VLPFC_reward
227	VLPFC	0	48	1889.849922	1961.714556	VLPFC_punish
227	RTPJ	1	48	1749.725348	1636.985354	RTPJ_reward
227	RTPJ	0	48	1847.687385	1867.410561	RTPJ_punish
228	VLPFC	1	48	1468.706419	1591.459721	VLPFC_reward
228	VLPFC	0	48	1500.803055	1650.342273	VLPFC_punish
228	RTPJ	1	48	1419.483682	1541.640571	RTPJ_reward
228	RTPJ	0	48	1492.83007	1663.821433	RTPJ_punish
230	VLPFC	1	48	1860.676152	2162.387199	VLPFC_reward
230	VLPFC	0	48	1822.282344	2160.867964	VLPFC_punish
230	RTPJ	1	48	1656.977714	1942.35348	RTPJ_reward
230	RTPJ	0	48	1944.840743	2316.195175	RTPJ_punish
231	VLPFC	1	48	1299.673334	1395.083038	VLPFC_reward
231	VLPFC	0	48	1392.55192	1529.120081	VLPFC_punish
231	RTPJ	1	48	1327.833583	1386.364503	RTPJ_reward
231	RTPJ	0	47	1308.31255	1456.509154	RTPJ_punish
232	VLPFC	1	64	1149.654129	1123.916434	VLPFC_reward
232	VLPFC	0	64	1386.185455	1470.500877	VLPFC_punish
232	RTPJ	1	63	1146.584072	1123.347504	RTPJ_reward
232	RTPJ	0	64	1270.796811	1317.408737	RTPJ_punish
233	VLPFC	1	32	1468.361474	1450.473633	VLPFC_reward
233	VLPFC	0	30	1470.35787	1547.794288	VLPFC_punish
233	RTPJ	1	32	1209.339026	1237.730819	RTPJ_reward
233	RTPJ	0	32	1444.474851	1551.474279	RTPJ_punish
234	VLPFC	1	48	2919.857074	2729.973761	VLPFC_reward
234	VLPFC	0	47	3004.145634	2847.087801	VLPFC_punish
234	RTPJ	1	48	2801.800586	2599.28927	RTPJ_reward
234	RTPJ	0	46	2957.905723	2830.695093	RTPJ_punish
235	VLPFC	1	48	1437.491809	1551.406512	VLPFC_reward
235	VLPFC	0	45	1488.000351	1659.725489	VLPFC_punish
235	RTPJ	1	46	1387.868829	1479.457144	RTPJ_reward
235	RTPJ	0	44	1529.490167	1676.964044	RTPJ_punish
236	VLPFC	1	48	1251.827105	1234.403096	VLPFC_reward
236	VLPFC	0	48	1382.769338	1465.939224	VLPFC_punish
236	RTPJ	1	48	1312.581468	1335.403785	RTPJ_reward
236	RTPJ	0	48	1210.309363	1236.136441	RTPJ_punish
237	VLPFC	1	47	1760.071993	1745.169413	VLPFC_reward
237	VLPFC	0	47	1626.997596	1644.590361	VLPFC_punish
237	RTPJ	1	47	1651.012504	1597.618838	RTPJ_reward
237	RTPJ	0	45	1658.485009	1687.169975	RTPJ_punish
238	VLPFC	1	48	1298.036665	1370.320739	VLPFC_reward
238	VLPFC	0	47	1184.535807	1336.187222	VLPFC_punish
238	RTPJ	1	48	1274.357555	1274.885311	RTPJ_reward
238	RTPJ	0	47	1101.98037	1213.237312	RTPJ_punish