subject	runNr	blockCntr	isPositive	isReward	target	groupCount	answer
189	1	2	0	0	VLPFC	2	35
189	1	2	1	0	VLPFC	1	40
189	1	4	0	1	VLPFC	2	25
189	1	4	1	1	VLPFC	1	30
189	1	6	0	0	RTPJ	3	20
189	1	8	0	0	VLPFC	2	30
189	1	8	1	0	VLPFC	1	30
189	1	10	0	1	VLPFC	3	20
189	1	12	0	1	RTPJ	2	25
189	1	12	1	1	RTPJ	1	50
189	1	14	0	1	RTPJ	2	25
189	1	14	1	1	RTPJ	1	50
189	1	16	0	0	RTPJ	2	25
189	1	16	1	0	RTPJ	1	30
189	2	2	0	0	RTPJ	3	23.3333333333333
189	2	4	0	1	RTPJ	2	20
189	2	4	1	1	RTPJ	1	20
189	2	6	0	0	RTPJ	1	20
189	2	6	1	0	RTPJ	2	25
189	2	8	0	0	VLPFC	1	10
189	2	8	1	0	VLPFC	2	20
189	2	10	1	1	VLPFC	3	26.6666666666667
189	2	12	0	1	RTPJ	2	20
189	2	12	1	1	RTPJ	1	20
189	2	14	0	0	VLPFC	1	20
189	2	14	1	0	VLPFC	2	20
189	2	16	0	1	VLPFC	2	15
189	2	16	1	1	VLPFC	1	30
189	3	2	0	1	VLPFC	2	10
189	3	2	1	1	VLPFC	1	30
189	3	4	1	1	VLPFC	3	23.3333333333333
189	3	6	0	1	RTPJ	3	10
189	3	8	0	1	RTPJ	2	15
189	3	8	1	1	RTPJ	1	30
189	3	10	0	0	VLPFC	2	20
189	3	10	1	0	VLPFC	1	20
189	3	12	0	0	VLPFC	3	10
189	3	14	0	0	RTPJ	1	20
189	3	14	1	0	RTPJ	2	15
189	3	16	0	0	RTPJ	1	20
189	3	16	1	0	RTPJ	2	15
203	1	2	0	1	VLPFC	2	10
203	1	2	1	1	VLPFC	1	40
203	1	4	0	1	RTPJ	1	10
203	1	4	1	1	RTPJ	2	45
203	1	6	0	1	RTPJ	2	10
203	1	6	1	1	RTPJ	1	50
203	1	8	0	0	VLPFC	1	10
203	1	8	1	0	VLPFC	2	45
203	1	10	0	0	RTPJ	1	10
203	1	10	1	0	RTPJ	2	45
203	1	12	0	0	VLPFC	2	10
203	1	12	1	0	VLPFC	1	50
203	1	14	0	0	RTPJ	1	10
203	1	14	1	0	RTPJ	2	45
203	1	16	1	1	VLPFC	3	43.3333333333333
203	2	2	0	0	VLPFC	3	16.6666666666667
203	2	4	0	0	VLPFC	2	10
203	2	4	1	0	VLPFC	1	40
203	2	6	1	0	RTPJ	3	46.6666666666667
203	2	8	0	1	RTPJ	2	10
203	2	8	1	1	RTPJ	1	50
203	2	10	0	0	RTPJ	2	10
203	2	10	1	0	RTPJ	1	40
203	2	12	0	1	VLPFC	2	10
203	2	12	1	1	VLPFC	1	40
203	2	14	0	1	RTPJ	3	10
203	2	16	0	1	VLPFC	2	10
203	2	16	1	1	VLPFC	1	40
203	3	2	0	1	VLPFC	2	10
203	3	2	1	1	VLPFC	1	40
203	3	4	0	0	RTPJ	1	20
203	3	4	1	0	RTPJ	2	35
203	3	6	0	1	VLPFC	1	10
203	3	6	1	1	VLPFC	2	35
203	3	8	0	1	RTPJ	2	10
203	3	8	1	1	RTPJ	1	30
203	3	10	0	0	VLPFC	1	40
203	3	10	1	0	VLPFC	2	30
203	3	12	0	0	RTPJ	1	20
203	3	12	1	0	RTPJ	2	30
203	3	14	0	0	VLPFC	2	15
203	3	14	1	0	VLPFC	1	30
203	3	16	0	1	RTPJ	3	13.3333333333333
207	1	2	0	1	RTPJ	2	30
207	1	2	1	1	RTPJ	1	20
207	1	4	0	1	RTPJ	1	20
207	1	4	1	1	RTPJ	2	25
207	1	6	0	1	VLPFC	1	20
207	1	6	1	1	VLPFC	2	30
207	1	8	0	1	VLPFC	3	20
207	1	10	0	0	VLPFC	2	25
207	1	10	1	0	VLPFC	1	40
207	1	12	0	0	RTPJ	2	40
207	1	12	1	0	RTPJ	1	40
207	1	14	0	0	VLPFC	3	26.6666666666667
207	1	16	0	0	RTPJ	2	10
207	1	16	1	0	RTPJ	1	10
207	2	2	0	0	RTPJ	1	40
207	2	2	1	0	RTPJ	2	15
207	2	4	0	1	VLPFC	1	20
207	2	4	1	1	VLPFC	2	45
207	2	6	0	1	VLPFC	3	26.6666666666667
207	2	8	0	1	RTPJ	2	15
207	2	8	1	1	RTPJ	1	50
207	2	10	0	0	RTPJ	3	13.3333333333333
207	2	12	0	1	RTPJ	1	10
207	2	12	1	1	RTPJ	2	30
207	2	14	0	0	VLPFC	2	50
207	2	14	1	0	VLPFC	1	40
207	2	16	1	0	VLPFC	3	16.6666666666667
208	1	2	0	0	RTPJ	2	45
208	1	2	1	0	RTPJ	1	30
208	1	4	0	0	RTPJ	2	40
208	1	4	1	0	RTPJ	1	30
208	1	6	1	1	VLPFC	3	30
208	1	8	0	1	RTPJ	1	30
208	1	8	1	1	RTPJ	2	45
208	1	10	0	1	RTPJ	2	25
208	1	10	1	1	RTPJ	1	30
208	1	12	0	0	VLPFC	1	30
208	1	12	1	0	VLPFC	2	25
208	1	14	0	1	VLPFC	2	20
208	1	14	1	1	VLPFC	1	30
208	1	16	0	0	VLPFC	2	30
208	1	16	1	0	VLPFC	1	40
208	2	2	0	0	VLPFC	2	15
208	2	2	1	0	VLPFC	1	50
208	2	4	0	1	RTPJ	1	30
208	2	4	1	1	RTPJ	2	45
208	2	6	0	0	RTPJ	1	10
208	2	6	1	0	RTPJ	2	50
208	2	8	0	1	RTPJ	1	10
208	2	8	1	1	RTPJ	2	50
208	2	10	0	0	VLPFC	2	10
208	2	10	1	0	VLPFC	1	30
208	2	12	0	1	VLPFC	2	25
208	2	12	1	1	VLPFC	1	30
208	2	14	0	1	VLPFC	2	25
208	2	14	1	1	VLPFC	1	40
208	2	16	0	0	RTPJ	2	35
208	2	16	1	0	RTPJ	1	30
208	3	2	0	1	RTPJ	3	26.6666666666667
208	3	4	0	0	VLPFC	2	25
208	3	4	1	0	VLPFC	1	40
208	3	6	0	1	VLPFC	1	10
208	3	6	1	1	VLPFC	2	40
208	3	8	0	0	RTPJ	1	30
208	3	8	1	0	RTPJ	2	40
208	3	10	0	1	RTPJ	2	25
208	3	10	1	1	RTPJ	1	40
208	3	12	0	0	VLPFC	2	15
208	3	12	1	0	VLPFC	1	20
208	3	14	0	1	VLPFC	2	25
208	3	14	1	1	VLPFC	1	40
208	3	16	1	0	RTPJ	3	40
209	1	2	0	0	VLPFC	1	20
209	1	2	1	0	VLPFC	2	35
209	1	4	0	0	RTPJ	2	30
209	1	4	1	0	RTPJ	1	30
209	1	6	0	0	VLPFC	2	25
209	1	6	1	0	VLPFC	1	40
209	1	8	0	1	RTPJ	1	30
209	1	8	1	1	RTPJ	2	30
209	1	10	0	0	RTPJ	2	10
209	1	10	1	0	RTPJ	1	40
209	1	12	0	1	RTPJ	1	10
209	1	12	1	1	RTPJ	2	30
209	1	14	0	1	VLPFC	2	10
209	1	14	1	1	VLPFC	1	30
209	1	16	0	1	VLPFC	1	30
209	1	16	1	1	VLPFC	2	35
209	2	2	0	0	RTPJ	3	16.6666666666667
209	2	4	0	1	VLPFC	1	20
209	2	4	1	1	VLPFC	2	30
209	2	6	0	1	VLPFC	3	13.3333333333333
209	2	8	0	0	RTPJ	2	20
209	2	8	1	0	RTPJ	1	30
209	2	10	0	1	RTPJ	2	20
209	2	10	1	1	RTPJ	1	30
209	2	12	0	1	RTPJ	3	16.6666666666667
209	2	14	0	0	VLPFC	3	16.6666666666667
209	2	16	0	0	VLPFC	3	13.3333333333333
209	3	2	0	1	RTPJ	1	30
209	3	2	1	1	RTPJ	2	45
209	3	4	0	0	RTPJ	2	15
209	3	4	1	0	RTPJ	1	30
209	3	6	1	1	VLPFC	3	33.3333333333333
209	3	8	0	0	VLPFC	2	20
209	3	8	1	0	VLPFC	1	20
209	3	10	0	0	VLPFC	1	10
209	3	10	1	0	VLPFC	2	20
209	3	12	0	1	RTPJ	3	10
209	3	14	0	1	VLPFC	1	20
209	3	14	1	1	VLPFC	2	40
209	3	16	0	0	RTPJ	1	10
209	3	16	1	0	RTPJ	2	30
210	1	2	0	0	RTPJ	2	25
210	1	2	1	0	RTPJ	1	30
210	1	4	0	1	RTPJ	2	10
210	1	4	1	1	RTPJ	1	40
210	1	6	0	1	VLPFC	1	10
210	1	6	1	1	VLPFC	2	45
210	1	8	0	1	VLPFC	1	10
210	1	8	1	1	VLPFC	2	35
210	1	10	0	0	VLPFC	3	20
210	1	12	0	1	RTPJ	2	15
210	1	12	1	1	RTPJ	1	40
210	1	14	0	0	RTPJ	3	16.6666666666667
210	1	16	0	0	VLPFC	2	15
210	1	16	1	0	VLPFC	1	40
210	2	2	0	1	VLPFC	1	10
210	2	2	1	1	VLPFC	2	45
210	2	4	0	1	RTPJ	1	10
210	2	4	1	1	RTPJ	2	50
210	2	6	0	1	RTPJ	1	10
210	2	6	1	1	RTPJ	2	45
210	2	8	0	0	VLPFC	1	20
210	2	8	1	0	VLPFC	2	45
210	2	10	0	0	RTPJ	2	10
210	2	10	1	0	RTPJ	1	30
210	2	12	0	0	VLPFC	1	20
210	2	12	1	0	VLPFC	2	35
210	2	14	0	1	VLPFC	2	20
210	2	14	1	1	VLPFC	1	40
210	2	16	0	0	RTPJ	1	10
210	2	16	1	0	RTPJ	2	35
210	3	2	0	0	VLPFC	1	10
210	3	2	1	0	VLPFC	2	40
210	3	4	0	0	VLPFC	1	20
210	3	4	1	0	VLPFC	2	45
210	3	6	0	0	RTPJ	2	25
210	3	6	1	0	RTPJ	1	50
210	3	8	1	1	RTPJ	3	36.6666666666667
210	3	10	0	0	RTPJ	2	20
210	3	10	1	0	RTPJ	1	50
210	3	12	1	1	RTPJ	3	40
210	3	14	0	1	VLPFC	2	20
210	3	14	1	1	VLPFC	1	40
210	3	16	0	1	VLPFC	3	16.6666666666667
211	1	2	0	1	VLPFC	2	10
211	1	2	1	1	VLPFC	1	50
211	1	4	1	1	RTPJ	3	50
211	1	6	1	0	VLPFC	3	50
211	1	8	1	1	VLPFC	3	50
211	1	10	0	0	RTPJ	2	15
211	1	10	1	0	RTPJ	1	50
211	1	12	0	1	RTPJ	2	15
211	1	12	1	1	RTPJ	1	50
211	1	14	0	0	RTPJ	1	10
211	1	14	1	0	RTPJ	2	30
211	1	16	0	0	VLPFC	1	10
211	1	16	1	0	VLPFC	2	40
211	2	2	1	0	VLPFC	3	50
211	2	4	0	0	RTPJ	2	30
211	2	4	1	0	RTPJ	1	50
211	2	6	0	1	VLPFC	2	10
211	2	6	1	1	VLPFC	1	50
211	2	8	0	1	RTPJ	1	10
211	2	8	1	1	RTPJ	2	50
211	2	10	0	0	VLPFC	3	20
211	2	12	0	0	RTPJ	1	20
211	2	12	1	0	RTPJ	2	50
211	2	14	1	1	VLPFC	3	50
211	2	16	0	1	RTPJ	1	10
211	2	16	1	1	RTPJ	2	45
211	3	2	1	1	VLPFC	3	50
211	3	4	0	0	VLPFC	2	25
211	3	4	1	0	VLPFC	1	50
211	3	6	0	0	RTPJ	1	20
211	3	6	1	0	RTPJ	2	25
211	3	8	0	0	RTPJ	2	20
211	3	8	1	0	RTPJ	1	50
211	3	10	1	0	VLPFC	3	50
211	3	12	0	1	VLPFC	1	30
211	3	12	1	1	VLPFC	2	50
211	3	14	0	1	RTPJ	2	15
211	3	14	1	1	RTPJ	1	50
211	3	16	0	1	RTPJ	3	20
213	1	2	0	0	RTPJ	2	10
213	1	2	1	0	RTPJ	1	10
213	1	4	0	0	VLPFC	2	15
213	1	4	1	0	VLPFC	1	10
213	1	6	0	1	VLPFC	2	10
213	1	6	1	1	VLPFC	1	10
213	1	8	0	0	VLPFC	1	10
213	1	8	1	0	VLPFC	2	10
213	1	10	0	1	RTPJ	2	10
213	1	10	1	1	RTPJ	1	10
213	1	12	0	1	RTPJ	2	10
213	1	12	1	1	RTPJ	1	10
213	1	14	0	1	VLPFC	2	15
213	1	14	1	1	VLPFC	1	10
213	1	16	0	0	RTPJ	1	10
213	1	16	1	0	RTPJ	2	10
213	2	2	0	1	VLPFC	3	10
213	2	4	0	0	VLPFC	2	10
213	2	4	1	0	VLPFC	1	30
213	2	6	0	1	RTPJ	2	10
213	2	6	1	1	RTPJ	1	10
213	2	8	0	1	VLPFC	3	13.3333333333333
213	2	10	0	1	RTPJ	3	10
213	2	12	0	0	VLPFC	2	10
213	2	12	1	0	VLPFC	1	10
213	2	14	0	0	RTPJ	1	10
213	2	14	1	0	RTPJ	2	10
213	2	16	0	0	RTPJ	1	10
213	2	16	1	0	RTPJ	2	10
214	1	2	0	1	RTPJ	1	10
214	1	2	1	1	RTPJ	2	20
214	1	4	0	1	RTPJ	1	10
214	1	4	1	1	RTPJ	2	30
214	1	6	1	1	VLPFC	3	16.6666666666667
214	1	8	0	0	VLPFC	1	10
214	1	8	1	0	VLPFC	2	20
214	1	10	0	1	VLPFC	2	10
214	1	10	1	1	VLPFC	1	10
214	1	12	0	0	RTPJ	2	20
214	1	12	1	0	RTPJ	1	20
214	1	14	0	0	RTPJ	2	15
214	1	14	1	0	RTPJ	1	20
214	1	16	0	0	VLPFC	1	10
214	1	16	1	0	VLPFC	2	30
214	2	2	0	1	VLPFC	1	10
214	2	2	1	1	VLPFC	2	30
214	2	4	0	1	RTPJ	1	10
214	2	4	1	1	RTPJ	2	15
214	2	6	0	1	VLPFC	2	10
214	2	6	1	1	VLPFC	1	30
214	2	8	0	0	RTPJ	1	10
214	2	8	1	0	RTPJ	2	25
214	2	10	0	0	RTPJ	2	10
214	2	10	1	0	RTPJ	1	20
214	2	12	1	0	VLPFC	3	13.3333333333333
214	2	14	0	0	VLPFC	1	10
214	2	14	1	0	VLPFC	2	10
214	2	16	0	1	RTPJ	2	10
214	2	16	1	1	RTPJ	1	20
214	3	2	0	1	VLPFC	2	10
214	3	2	1	1	VLPFC	1	40
214	3	4	0	0	VLPFC	1	10
214	3	4	1	0	VLPFC	2	40
214	3	6	1	1	VLPFC	3	20
214	3	8	0	1	RTPJ	1	30
214	3	8	1	1	RTPJ	2	20
214	3	10	0	0	VLPFC	2	10
214	3	10	1	0	VLPFC	1	30
214	3	12	0	1	RTPJ	1	10
214	3	12	1	1	RTPJ	2	20
214	3	14	0	0	RTPJ	2	25
214	3	14	1	0	RTPJ	1	10
214	3	16	0	0	RTPJ	1	10
214	3	16	1	0	RTPJ	2	20
215	1	2	1	1	VLPFC	3	43.3333333333333
215	1	4	0	1	RTPJ	1	20
215	1	4	1	1	RTPJ	2	30
215	1	6	0	0	RTPJ	1	10
215	1	6	1	0	RTPJ	2	45
215	1	8	0	0	VLPFC	1	20
215	1	8	1	0	VLPFC	2	40
215	1	10	0	1	VLPFC	2	35
215	1	10	1	1	VLPFC	1	40
215	1	12	1	1	RTPJ	3	43.3333333333333
215	1	14	0	0	RTPJ	2	25
215	1	14	1	0	RTPJ	1	40
215	1	16	0	0	VLPFC	1	30
215	1	16	1	0	VLPFC	2	30
215	2	2	0	0	RTPJ	2	20
215	2	2	1	0	RTPJ	1	40
215	2	4	0	0	VLPFC	2	25
215	2	4	1	0	VLPFC	1	30
215	2	6	0	1	VLPFC	1	30
215	2	6	1	1	VLPFC	2	35
215	2	8	0	1	RTPJ	2	15
215	2	8	1	1	RTPJ	1	30
215	2	10	1	1	VLPFC	3	33.3333333333333
215	2	12	0	1	RTPJ	2	15
215	2	12	1	1	RTPJ	1	40
215	2	14	0	0	RTPJ	2	15
215	2	14	1	0	RTPJ	1	40
215	2	16	0	0	VLPFC	2	20
215	2	16	1	0	VLPFC	1	30
215	3	2	0	1	RTPJ	3	13.3333333333333
215	3	4	1	1	RTPJ	3	26.6666666666667
215	3	6	0	1	VLPFC	1	10
215	3	6	1	1	VLPFC	2	40
215	3	8	0	0	RTPJ	2	15
215	3	8	1	0	RTPJ	1	40
215	3	10	0	1	VLPFC	1	10
215	3	10	1	1	VLPFC	2	35
215	3	12	0	0	VLPFC	1	10
215	3	12	1	0	VLPFC	2	30
215	3	14	0	0	RTPJ	3	13.3333333333333
215	3	16	0	0	VLPFC	2	10
215	3	16	1	0	VLPFC	1	40
216	1	2	0	0	VLPFC	2	30
216	1	2	1	0	VLPFC	1	40
216	1	4	0	0	RTPJ	1	30
216	1	4	1	0	RTPJ	2	35
216	1	6	0	1	VLPFC	2	20
216	1	6	1	1	VLPFC	1	30
216	1	8	0	0	RTPJ	1	10
216	1	8	1	0	RTPJ	2	25
216	1	10	0	1	RTPJ	2	25
216	1	10	1	1	RTPJ	1	30
216	1	12	0	0	VLPFC	2	35
216	1	12	1	0	VLPFC	1	40
216	1	14	0	1	VLPFC	1	40
216	1	14	1	1	VLPFC	2	30
216	1	16	0	1	RTPJ	2	35
216	1	16	1	1	RTPJ	1	40
216	2	2	0	0	VLPFC	1	30
216	2	2	1	0	VLPFC	2	35
216	2	4	0	1	VLPFC	1	40
216	2	4	1	1	VLPFC	2	30
216	2	6	0	1	RTPJ	1	30
216	2	6	1	1	RTPJ	2	30
216	2	8	1	1	VLPFC	3	30
216	2	10	0	0	VLPFC	2	35
216	2	10	1	0	VLPFC	1	20
216	2	12	0	0	RTPJ	2	30
216	2	12	1	0	RTPJ	1	30
216	2	14	0	0	RTPJ	1	20
216	2	14	1	0	RTPJ	2	30
216	2	16	0	1	RTPJ	1	40
216	2	16	1	1	RTPJ	2	30
217	1	2	0	0	RTPJ	1	10
217	1	2	1	0	RTPJ	2	30
217	1	4	0	1	VLPFC	3	10
217	1	6	0	0	RTPJ	2	10
217	1	6	1	0	RTPJ	1	30
217	1	8	0	1	VLPFC	1	10
217	1	8	1	1	VLPFC	2	30
217	1	10	0	0	VLPFC	1	20
217	1	10	1	0	VLPFC	2	35
217	1	12	1	1	RTPJ	3	33.3333333333333
217	1	14	0	0	VLPFC	1	20
217	1	14	1	0	VLPFC	2	35
217	1	16	0	1	RTPJ	1	20
217	1	16	1	1	RTPJ	2	30
217	3	2	0	1	VLPFC	2	10
217	3	2	1	1	VLPFC	1	40
217	3	4	0	0	RTPJ	1	20
217	3	4	1	0	RTPJ	2	35
217	3	6	0	1	RTPJ	1	20
217	3	6	1	1	RTPJ	2	30
217	3	8	0	1	RTPJ	3	10
217	3	10	0	1	VLPFC	2	10
217	3	10	1	1	VLPFC	1	20
217	3	12	0	0	RTPJ	1	10
217	3	12	1	0	RTPJ	2	20
217	3	14	0	0	VLPFC	1	20
217	3	14	1	0	VLPFC	2	30
217	3	16	0	0	VLPFC	3	13.3333333333333
219	1	2	0	0	RTPJ	2	10
219	1	2	1	0	RTPJ	1	10
219	1	4	0	0	VLPFC	2	15
219	1	4	1	0	VLPFC	1	10
219	1	6	0	1	VLPFC	3	10
219	1	8	0	0	VLPFC	3	10
219	1	10	0	1	VLPFC	2	15
219	1	10	1	1	VLPFC	1	10
219	1	12	1	1	RTPJ	3	23.3333333333333
219	1	14	0	0	RTPJ	2	15
219	1	14	1	0	RTPJ	1	20
219	1	16	0	1	RTPJ	1	10
219	1	16	1	1	RTPJ	2	15
219	2	2	0	0	VLPFC	1	20
219	2	2	1	0	VLPFC	2	10
219	2	4	0	1	RTPJ	2	10
219	2	4	1	1	RTPJ	1	30
219	2	6	1	0	VLPFC	3	20
219	2	8	0	1	RTPJ	1	10
219	2	8	1	1	RTPJ	2	20
219	2	10	0	1	VLPFC	3	20
219	2	12	0	0	RTPJ	1	20
219	2	12	1	0	RTPJ	2	15
219	2	14	0	1	VLPFC	2	15
219	2	14	1	1	VLPFC	1	10
219	2	16	0	0	RTPJ	2	15
219	2	16	1	0	RTPJ	1	30
219	3	2	1	1	VLPFC	3	16.6666666666667
219	3	4	0	0	VLPFC	1	10
219	3	4	1	0	VLPFC	2	15
219	3	6	1	1	RTPJ	3	26.6666666666667
219	3	8	0	1	RTPJ	2	10
219	3	8	1	1	RTPJ	1	20
219	3	10	0	0	RTPJ	3	10
219	3	12	0	0	RTPJ	1	20
219	3	12	1	0	RTPJ	2	20
219	3	14	1	0	VLPFC	3	20
219	3	16	0	1	VLPFC	2	15
219	3	16	1	1	VLPFC	1	10
220	1	2	0	1	VLPFC	1	20
220	1	2	1	1	VLPFC	2	30
220	1	4	0	0	VLPFC	2	10
220	1	4	1	0	VLPFC	1	20
220	1	6	1	1	RTPJ	3	10
220	1	8	0	0	VLPFC	1	10
220	1	8	1	0	VLPFC	2	15
220	1	10	0	0	RTPJ	1	30
220	1	10	1	0	RTPJ	2	15
220	1	12	0	1	RTPJ	1	20
220	1	12	1	1	RTPJ	2	20
220	1	14	0	1	VLPFC	2	10
220	1	14	1	1	VLPFC	1	20
220	1	16	1	0	RTPJ	3	16.6666666666667
220	2	2	0	0	RTPJ	2	20
220	2	2	1	0	RTPJ	1	20
220	2	4	0	0	VLPFC	2	30
220	2	4	1	0	VLPFC	1	30
220	2	6	0	0	RTPJ	2	30
220	2	6	1	0	RTPJ	1	30
220	2	8	1	1	VLPFC	3	23.3333333333333
220	2	10	0	0	VLPFC	2	20
220	2	10	1	0	VLPFC	1	20
220	2	12	0	1	VLPFC	2	20
220	2	12	1	1	VLPFC	1	10
220	2	14	0	1	RTPJ	1	20
220	2	14	1	1	RTPJ	2	15
220	2	16	1	1	RTPJ	3	20
220	3	2	0	1	VLPFC	2	30
220	3	2	1	1	VLPFC	1	10
220	3	4	0	0	RTPJ	1	10
220	3	4	1	0	RTPJ	2	20
220	3	6	0	1	RTPJ	2	20
220	3	6	1	1	RTPJ	1	10
220	3	8	0	0	VLPFC	2	30
220	3	8	1	0	VLPFC	1	40
220	3	10	0	0	VLPFC	2	25
220	3	10	1	0	VLPFC	1	30
220	3	12	0	0	RTPJ	2	35
220	3	12	1	0	RTPJ	1	30
220	3	14	0	1	VLPFC	2	40
220	3	14	1	1	VLPFC	1	30
220	3	16	0	1	RTPJ	1	10
220	3	16	1	1	RTPJ	2	25
221	1	2	0	0	VLPFC	1	20
221	1	2	1	0	VLPFC	2	40
221	1	4	0	1	VLPFC	1	10
221	1	4	1	1	VLPFC	2	35
221	1	6	1	0	VLPFC	3	36.6666666666667
221	1	8	0	1	VLPFC	2	10
221	1	8	1	1	VLPFC	1	50
221	1	10	0	1	RTPJ	1	20
221	1	10	1	1	RTPJ	2	30
221	1	12	0	1	RTPJ	3	16.6666666666667
221	1	14	0	0	RTPJ	1	10
221	1	14	1	0	RTPJ	2	30
221	1	16	0	0	RTPJ	1	20
221	1	16	1	0	RTPJ	2	25
221	2	2	0	1	VLPFC	1	20
221	2	2	1	1	VLPFC	2	30
221	2	4	0	1	RTPJ	2	10
221	2	4	1	1	RTPJ	1	40
221	2	6	0	0	VLPFC	3	20
